S.no,Review
315,Bought this for my daughter when she turned 9.  She loves it!!  I especially like the calling feature since she doesn’t have a cell phone.  She loves playing music and dancing and with Amazon music she can play all her favorite songs ...... sometimes over and over and over again lol!
316,We got this as a wedding gift and haven’t discovered all of its features yet. Will update. Playing music is great though!
317,I am impressed with the sound quality.
318,"Very pleased with my purchase of Echo Smart Speaker - love the fact that I can play music of different genre's whenever I want.Had some trouble at first with the WI FI, but it is now working."
319,"My  wife & I enjoy the ease of playing our music. The games are fun & entertaining, I look forward to adding more smart products to my home."
320,"This is my second Echo and I love how it helps me in the kitchen. I can set timers, listen to the news, prepare grocery lists, and get great music."
321,The sound quality is good just wish alexa could answer more questions
322,"This is my second Echo, I have the Dot but the speaker is weak so I purchased this and for listening to music the speaker is great."
323,great sound
324,Great
325,We really only use this as a speaker to stream music. We’ve had it 7 months and it’s just kinda useless.
326,"Once set up very user friendly. Set-up wasn't as user friendly as I'd hoped.. The alexa app should be able to download to a pc without installing [invasive ] drivers. My wife and I are both retired and she wouldn't have been able to install Alexa, but if my son wasn't supplying her with a smart phone we wouldn't be using Alexa yet."
327,Very easy set up. Really enjoying it
328,"The echo doesn’t come with a built in battery so it has to be plugged in at all times to use it, makes it quite inconvenient."
329,more compact and a bit better than the original
330,I love it pretty cool.
331,I having it in my living room. Music sounds really good in my living room . I can hear it upstairs.
332,This is a great product!  Set up was easy.  Sound is wonderful.
333,"So far I like it.  I bought it just for some music though, and it sounds pretty good."
334,Love it
335,Love it.
336,Glad I bought this.
337,"Like, all types of fun,music, and more"
338,I like the volume up and down on the top so I can turn it down quickly.
339,Beyond my capabilities to program. Grandkids lve it
340,"I love my new echo.  It gives me hours of music and help with other things.It was difficult for me to set it up,  I had to have help from a Tekkie"
341,Almost as good as my Bose. Love the whole house music.
342,Alexa hardly came on..
343,"Easy setup using the app, which was also easy to install on my phone.  The sound quality while for listening to music on Pandora is wonderful!!"
344,"I’m still learning how to use the Echo, but so far I love it!"
345,Works awesome!
346,Works great.
347,From such a small speaker it sounds great
348,Great sound for the size and the prize!! And of course....Alexa!
349,if you don't have an Echo you definitely need one
350,Great device.  Seems to work better than the 1st generation!
351,Item no longer works after just 5 months of use. Will not connect to wifi and unresponsive to reset requests.
352,I love the Echo Dot. So easy. So fun. I get to drop in on my Grandaughter who lives about 2000 miles away. Sounds like she is right next to me.
